HDD,RAM,RAM_frequincy,RAM_type,SSD,anti_glare,brand,cpu_brand,cpu_family,cpu_frequincy,cpu_modifier,cpu_number_identifier,gpu_brand,gpu_frequincy,gpu_number_modifier,gpu_vram,gpu_words_modifier,prix,screen_refresh_rate,screen_resolution,screen_size,state,touch_screen
1000,16,2400,ddr4,128,0,msi,intel,h,2.3,i5,8300,nvidia,0,1050 ti,4,geforce gtx,160000,60,fhd,15.6,used,0
1000,16,2400,ddr4,128,0,asus,intel,hq,2.8,i7,7700,nvidia,0,1050,2,geforce gtx,160000,60,fhd,17.3,used,0
0,16,2400,ddr4,512,1,msi,intel,h,2.4,i5,9300,nvidia,0,1650,4,geforce gtx,176000,120,fhd,17.3,used,0
500,16,0,ddr4,128,1,lenovo,intel,hq,2.5,i5,7300,nvidia,0,1060,6,geforce gtx,148000,60,fhd,15.6,used,0
1000,8,2400,ddr4,0,0,hp,intel,u,1.8,i7,8565,nvidia,0,mx130,2,geforce,125000,60,fhd,15.6,used,0
0,16,0,ddr4,256,0,hp,amd,u,4.2,ryzen5,5600,0,0,0,0,0,155000,60,fhd,13.3,new,0
1000,4,0,ddr4,0,0,hp,intel,g1,1,i5,1035,nvidia,0,330,2,geforce mx,138000,60,fhd,15.6,new,0
1000,32,0,ddr4,512,1,hp,intel,h,5.3,i9,10885,nvidia,0,2080,8,geforce rtx,692000,144,fhd,15.6,new,0
0,8,3200,ddr4,512,0,hp,amd,u,4,ryzen5,5500,0,0,0,0,0,150000,60,fhd,17.3,used,0
0,8,0,ddr4,256,0,hp,intel,g4,3,i3,1115,0,0,0,0,0,105000,60,fhd,17.3,new,0
0,8,0,ddr4,256,0,hp,amd,h,0,ryzen5,4600,nvidia,0,1650 ti,4,geforce gtx,178900,60,fhd,15.6,new,0
0,32,3200,ddr4,512,1,hp,intel,h,2.6,i7,10750,nvidia,0,p620,4,quadro,218000,60,fhd,15.6,new,0
0,16,3733,ddr4,512,0,hp,intel,g7,1.5,i7,1065,0,0,0,0,0,230000,60,4k,13.3,used,1
0,16,4267,ddr4x,1000,0,hp,intel,g7,2.9,i7,1195,nvidia,0,450,2,geforce mx,340000,60,fhd,17.3,new,0
0,16,3200,ddr4x,1000,0,hp,amd,u,2,ryzen7,4700,0,0,0,0,0,248000,60,4k,13.3,new,1
0,8,0,ddr4,256,1,hp,intel,u,3.4,i5,8265,0,0,0,0,0,100000,60,fhd,14,used,0
0,32,3200,ddr4,1000,1,hp,intel,h,2.4,i9,10885,nvidia,0,t2000,4,quadro,420000,60,fhd,15.6,new,0
0,32,3200,ddr4,1000,1,hp,intel,k,3.2,i9,11900,nvidia,0,3070,8,geforce rtx,365000,240,fhd,15.6,new,0
0,32,3200,ddr4,1000,1,hp,amd,hx,3.2,ryzen9,5900,nvidia,0,3070,8,rtx,365000,240,fhd,15.6,new,0
0,16,0,ddr4,1000,0,hp,intel,g7,0,i7,1165,0,0,0,0,0,280000,60,fhd,13.3,used,1
1000,16,0,ddr4,128,0,acer,intel,h,2.2,i7,8750,nvidia,0,1050,4,gtx,169000,60,fhd,15.6,used,0
0,8,4267,ddr4x,256,1,dell,intel,g7,2.4,i5,1135,0,0,0,0,0,158000,60,fhd,14,new,0
